"participantID","age","female","nonChinese","sesInc","sesLad","day","itemDisc1","itemDisc2","itemDisc3","itemDisc4","itemDisc5","itemDisc6","itemDisc7","itemDisc8","itemDisc9","itemDayCogFail01","itemDayCogFail02","itemDayCogFail03","itemDayCogFail04","itemDayCogFail05","itemDayCogFail06","itemDayCogFail07","itemDayCogFail08","itemDayCogFail09","itemDayCogFail10","itemDayCogFail11","itemDayCogFail12","itemDayCogFail13","itemDayStressorArgue","itemDayStressorAvoid","itemDayStressorWork","itemDayStressorHome","itemDayStressorDiscrimination","itemDayStressorNetwork","itemDayStressorOther"
"DISC-CF-3170",22,0,0,3,6,1,4,4,1,4,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISC-CF-3170",22,0,0,3,6,2,4,4,1,4,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,0,1,1,0,0,0,1,0,0,1
"DISC-CF-3170",22,0,0,3,6,3,4,4,1,4,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0
"DISC-CF-3170",22,0,0,3,6,4,4,4,1,4,2,2,2,2,2,3,3,0,3,3,0,2,2,2,2,2,0,3,0,1,0,0,0,0,0
"DISC-CF-3170",22,0,0,3,6,5,4,4,1,4,2,2,2,2,2,3,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"DISC-CF-3170",22,0,0,3,6,6,4,4,1,4,2,2,2,2,2,3,3,0,3,3,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0
"DISC-CF-3170",22,0,0,3,6,7,4,4,1,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"DISC-CF-3171",20,1,0,4,5,1,3,3,2,3,3,2,3,2,2,3,2,3,1,0,0,1,3,3,3,0,2,2,1,1,1,1,0,1,1
"DISC-CF-3171",20,1,0,4,5,2,3,3,2,3,3,2,3,2,2,3,1,1,0,0,1,0,3,3,3,2,0,3,0,1,0,1,0,0,0
"DISC-CF-3171",20,1,0,4,5,3,3,3,2,3,3,2,3,2,2,3,1,3,2,1,1,2,3,1,2,3,2,2,1,1,1,1,0,1,0
"DISC-CF-3171",20,1,0,4,5,4,3,3,2,3,3,2,3,2,2,2,1,3,2,0,0,1,2,2,1,0,0,2,0,0,0,0,0,0,0
"DISC-CF-3171",20,1,0,4,5,5,3,3,2,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISC-CF-3171",20,1,0,4,5,6,3,3,2,3,3,2,3,2,2,1,3,3,3,0,0,0,3,2,2,0,0,1,0,1,1,1,0,0,0
"DISC-CF-3171",20,1,0,4,5,7,3,3,2,3,3,2,3,2,2,1,2,0,0,0,1,0,2,0,3,0,2,0,1,1,1,1,0,0,1
"DISC-CF-3172",21,0,0,2,6,1,3,3,2,2,2,3,3,3,2,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0
"DISC-CF-3172",21,0,0,2,6,2,3,3,2,2,2,3,3,3,2,1,2,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,1
"DISC-CF-3172",21,0,0,2,6,3,3,3,2,2,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3172",21,0,0,2,6,4,3,3,2,2,2,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"DISC-CF-3172",21,0,0,2,6,5,3,3,2,2,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3172",21,0,0,2,6,6,3,3,2,2,2,3,3,3,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
"DISC-CF-3172",21,0,0,2,6,7,3,3,2,2,2,3,3,3,2,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"DISC-CF-3173",23,1,1,2,4,1,2,3,2,4,2,2,4,3,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"DISC-CF-3173",23,1,1,2,4,2,2,3,2,4,2,2,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3173",23,1,1,2,4,3,2,3,2,4,2,2,4,3,1,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3173",23,1,1,2,4,4,2,3,2,4,2,2,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DISC-CF-3173",23,1,1,2,4,5,2,3,2,4,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3173",23,1,1,2,4,6,2,3,2,4,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3173",23,1,1,2,4,7,2,3,2,4,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DISC-CF-3174",24,0,0,3,3,1,3,3,2,2,3,3,3,2,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0
"DISC-CF-3174",24,0,0,3,3,2,3,3,2,2,3,3,3,2,2,3,2,0,3,1,0,0,3,2,3,2,2,0,0,0,0,0,0,0,0
"DISC-CF-3174",24,0,0,3,3,3,3,3,2,2,3,3,3,2,2,3,2,2,1,1,0,2,2,2,2,2,2,1,0,0,0,0,0,0,0
"DISC-CF-3174",24,0,0,3,3,4,3,3,2,2,3,3,3,2,2,3,2,2,1,2,0,1,1,2,1,1,2,2,0,0,1,0,0,0,0
"DISC-CF-3174",24,0,0,3,3,5,3,3,2,2,3,3,3,2,2,1,2,2,2,2,0,0,1,1,2,1,3,2,0,0,0,0,0,0,0
